"No.","Time","Source","Destination","Protocol","Length","Payload"
"16","2026-01-20 15:31:36.802337500","192.168.0.79","192.168.10.3","UDP","55","c5:6d:00:00:2b:00:c7:59:01:01:03:00:38:39:30:33:33:36:34:33:31:30:32:32:39:39:39:39:39:39:39:36:32:38:30:34:32:36:30:31:32:30:31:36:33:31:30:30:30:30:30:31:20:20:20"
"17","2026-01-20 15:31:37.802812200","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e5:46:01:00:03:00:4f:4b"
"18","2026-01-20 15:32:27.509684400","192.168.10.3","192.168.0.79","UDP","24","00:00:c5:6d:0c:00:2a:5a:01:01:d7:04:33:32:32:36:30:31:32:30:31:36:33:32"
"19","2026-01-20 15:32:27.514881700","192.168.0.79","192.168.10.3","UDP","16","c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30"
"20","2026-01-20 15:32:27.850449200","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b"
"21","2026-01-20 15:33:30.203237200","192.168.10.3","192.168.0.79","UDP","50","00:00:c5:6d:26:00:68:b7:01:01:d8:04:37:36:30:33:30:32:33:36:34:33:31:30:32:32:39:39:39:39:39:39:39:36:32:38:30:34:32:36:30:31:32:30:31:36:33:31:30:20"
"22","2026-01-20 15:33:30.209810000","192.168.0.79","192.168.10.3","UDP","18","00:00:c5:6d:06:00:94:f3:01:00:d8:04:66:36:30:30:30:33"
"23","2026-01-20 15:33:30.211130800","192.168.0.79","192.168.10.3","UDP","140","c5:6d:00:00:80:00:d6:b5:01:01:cb:00:38:30:42:32:32:36:30:31:32:30:31:33:33:33:32:36:30:31:32:30:31:36:31:33:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:33:36:34:33:31:30:32:32:39:39:39:39:39:39:39:36:30:32:30:33"
"24","2026-01-20 15:33:30.900568100","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:1d:46:01:00:cb:00:4f:4b"
"25","2026-01-20 15:33:40.913250600","192.168.0.79","192.168.10.3","UDP","55","c5:6d:00:00:2b:00:e2:63:01:01:04:00:38:39:30:34:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:32:37:30:34:32:36:30:31:32:30:31:36:33:33:30:30:30:30:30:31:20:20:20"
"26","2026-01-20 15:33:41.902561600","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e4:46:01:00:04:00:4f:4b"
"27","2026-01-20 15:34:30.437581000","192.168.10.3","192.168.0.79","UDP","24","00:00:c5:6d:0c:00:28:58:01:01:d9:04:33:32:32:36:30:31:32:30:31:36:33:34"
"28","2026-01-20 15:34:30.440315800","192.168.0.79","192.168.10.3","UDP","16","c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30"
"29","2026-01-20 15:34:30.952216300","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b"
"30","2026-01-20 15:35:33.113527700","192.168.10.3","192.168.0.79","UDP","50","00:00:c5:6d:26:00:82:c1:01:01:da:04:37:36:30:34:30:32:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:32:37:30:34:32:36:30:31:32:30:31:36:33:33:30:20"
"31","2026-01-20 15:35:33.120188900","192.168.0.79","192.168.10.3","UDP","18","00:00:c5:6d:06:00:92:f2:01:00:da:04:66:36:30:30:30:34"
"32","2026-01-20 15:35:33.121313500","192.168.0.79","192.168.10.3","UDP","140","c5:6d:00:00:80:00:f1:bc:01:01:cc:00:38:30:42:32:32:36:30:31:32:30:31:33:33:35:32:36:30:31:32:30:31:36:31:35:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:30:32:30:34"
"33","2026-01-20 15:35:33.995410900","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:1c:46:01:00:cc:00:4f:4b"
"34","2026-01-20 15:35:44.016594100","192.168.0.79","192.168.10.3","UDP","55","c5:6d:00:00:2b:00:f2:84:01:01:05:00:38:39:30:35:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:32:35:31:31:32:36:30:31:32:30:31:36:33:35:30:30:30:30:30:31:20:20:20"
"35","2026-01-20 15:35:45.014071100","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e3:46:01:00:05:00:4f:4b"
"36","2026-01-20 15:36:33.256084300","192.168.10.3","192.168.0.79","UDP","50","00:00:c5:6d:26:00:92:e2:01:01:db:04:37:36:30:35:30:32:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:32:35:31:31:32:36:30:31:32:30:31:36:33:35:30:20"
"37","2026-01-20 15:36:33.261076000","192.168.0.79","192.168.10.3","UDP","18","00:00:c5:6d:06:00:91:f1:01:00:db:04:66:36:30:30:30:35"
"38","2026-01-20 15:36:33.262577800","192.168.0.79","192.168.10.3","UDP","140","c5:6d:00:00:80:00:02:d9:01:01:cd:00:38:30:42:32:32:36:30:31:32:30:31:33:33:36:32:36:30:31:32:30:31:36:31:36:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:30:32:30:35"
"39","2026-01-20 15:36:34.045139200","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:1b:46:01:00:cd:00:4f:4b"
"40","2026-01-20 15:37:33.411246300","192.168.10.3","192.168.0.79","UDP","24","00:00:c5:6d:0c:00:25:55:01:01:dc:04:33:32:32:36:30:31:32:30:31:36:33:37"
"41","2026-01-20 15:37:33.414675600","192.168.0.79","192.168.10.3","UDP","16","c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30"
"42","2026-01-20 15:37:34.101642200","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b"
"43","2026-01-20 16:09:51.646038200","192.168.0.79","192.168.10.3","UDP","55","c5:6d:00:00:2b:00:e8:5f:01:01:01:00:38:39:30:31:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:32:37:30:34:32:36:30:31:32:30:31:37:30:39:30:30:30:30:30:31:20:20:20"
"44","2026-01-20 16:09:52.754053200","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e7:46:01:00:01:00:4f:4b"
"45","2026-01-20 16:09:55.979016200","192.168.10.3","192.168.0.79","UDP","50","00:00:c5:6d:26:00:82:bd:01:01:dd:04:37:36:30:31:30:32:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:32:37:30:34:32:36:30:31:32:30:31:37:30:39:30:20"
"46","2026-01-20 16:09:55.984210400","192.168.0.79","192.168.10.3","UDP","18","00:00:c5:6d:06:00:8f:f5:01:00:dd:04:66:36:30:30:30:31"
"47","2026-01-20 16:09:55.985522200","192.168.0.79","192.168.10.3","UDP","140","c5:6d:00:00:80:00:f4:b6:01:01:c9:00:38:30:42:32:32:36:30:31:32:30:31:34:30:39:32:36:30:31:32:30:31:36:34:39:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:30:32:30:31"
"48","2026-01-20 16:09:56.753446900","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:1f:46:01:00:c9:00:4f:4b"
"49","2026-01-20 16:10:56.138119100","192.168.10.3","192.168.0.79","UDP","24","00:00:c5:6d:0c:00:25:5b:01:01:de:04:33:32:32:36:30:31:32:30:31:37:31:30"
"50","2026-01-20 16:10:56.143197400","192.168.0.79","192.168.10.3","UDP","16","c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30"
"51","2026-01-20 16:10:56.769353500","192.168.0.79","192.168.10.3","UDP","55","c5:6d:00:00:2b:00:f7:8b:01:01:02:00:38:39:30:32:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:32:35:31:31:32:36:30:31:32:30:31:37:31:30:30:30:30:30:30:31:20:20:20"
"52","2026-01-20 16:10:56.790252200","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b"
"53","2026-01-20 16:10:57.794330800","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e6:46:01:00:02:00:4f:4b"
"54","2026-01-20 16:11:59.360029900","192.168.10.3","192.168.0.79","UDP","50","00:00:c5:6d:26:00:90:e9:01:01:df:04:37:36:30:32:30:32:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:32:35:31:31:32:36:30:31:32:30:31:37:31:30:30:20"
"55","2026-01-20 16:11:59.365845200","192.168.0.79","192.168.10.3","UDP","18","00:00:c5:6d:06:00:8d:f4:01:00:df:04:66:36:30:30:30:32"
"56","2026-01-20 16:11:59.366887800","192.168.0.79","192.168.10.3","UDP","140","c5:6d:00:00:80:00:03:e5:01:01:ca:00:38:30:42:32:32:36:30:31:32:30:31:34:31:31:32:36:30:31:32:30:31:36:35:31:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:30:32:30:32"
"57","2026-01-20 16:11:59.862051300","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:1e:46:01:00:ca:00:4f:4b"
"58","2026-01-20 16:12:59.463437500","192.168.10.3","192.168.0.79","UDP","24","00:00:c5:6d:0c:00:23:59:01:01:e0:04:33:32:32:36:30:31:32:30:31:37:31:32"
"59","2026-01-20 16:12:59.465539000","192.168.0.79","192.168.10.3","UDP","16","c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30"
"60","2026-01-20 16:12:59.881305000","192.168.0.79","192.168.10.3","UDP","55","c5:6d:00:00:2b:00:c9:57:01:01:03:00:38:39:30:33:33:36:34:33:31:30:32:32:39:39:39:39:39:39:39:36:32:38:30:34:32:36:30:31:32:30:31:37:31:32:30:30:30:30:30:31:20:20:20"
"61","2026-01-20 16:12:59.894897900","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b"
"62","2026-01-20 16:13:00.894122400","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e5:46:01:00:03:00:4f:4b"
"63","2026-01-20 16:14:02.204738000","192.168.10.3","192.168.0.79","UDP","50","00:00:c5:6d:26:00:61:b5:01:01:e1:04:37:36:30:33:30:32:33:36:34:33:31:30:32:32:39:39:39:39:39:39:39:36:32:38:30:34:32:36:30:31:32:30:31:37:31:32:30:20"
"64","2026-01-20 16:14:02.210358200","192.168.0.79","192.168.10.3","UDP","18","00:00:c5:6d:06:00:8b:f3:01:00:e1:04:66:36:30:30:30:33"
"65","2026-01-20 16:14:02.211681400","192.168.0.79","192.168.10.3","UDP","140","c5:6d:00:00:80:00:d4:b2:01:01:cb:00:38:30:42:32:32:36:30:31:32:30:31:34:31:34:32:36:30:31:32:30:31:36:35:34:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:33:36:34:33:31:30:32:32:39:39:39:39:39:39:39:36:30:32:30:33"
"66","2026-01-20 16:14:02.947228600","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:1d:46:01:00:cb:00:4f:4b"
"67","2026-01-20 16:15:02.356011700","192.168.10.3","192.168.0.79","UDP","24","00:00:c5:6d:0c:00:21:56:01:01:e2:04:33:32:32:36:30:31:32:30:31:37:31:35"
"68","2026-01-20 16:15:02.357545200","192.168.0.79","192.168.10.3","UDP","16","c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30"
"69","2026-01-20 16:15:02.961912600","192.168.0.79","192.168.10.3","UDP","55","c5:6d:00:00:2b:00:e4:60:01:01:04:00:38:39:30:34:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:32:37:30:34:32:36:30:31:32:30:31:37:31:35:30:30:30:30:30:31:20:20:20"
"70","2026-01-20 16:15:03.009345600","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b"
"71","2026-01-20 16:15:04.006659200","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e4:46:01:00:04:00:4f:4b"
"72","2026-01-20 16:16:05.124820200","192.168.10.3","192.168.0.79","UDP","50","00:00:c5:6d:26:00:7b:be:01:01:e3:04:37:36:30:34:30:32:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:32:37:30:34:32:36:30:31:32:30:31:37:31:35:30:20"
"73","2026-01-20 16:16:05.127952500","192.168.0.79","192.168.10.3","UDP","18","00:00:c5:6d:06:00:89:f2:01:00:e3:04:66:36:30:30:30:34"
"74","2026-01-20 16:16:05.128869100","192.168.0.79","192.168.10.3","UDP","140","c5:6d:00:00:80:00:ef:b9:01:01:cc:00:38:30:42:32:32:36:30:31:32:30:31:34:31:36:32:36:30:31:32:30:31:36:35:36:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:30:32:30:34"
"75","2026-01-20 16:16:06.049744400","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:1c:46:01:00:cc:00:4f:4b"
"76","2026-01-20 16:17:05.237906700","192.168.10.3","192.168.0.79","UDP","24","00:00:c5:6d:0c:00:1f:54:01:01:e4:04:33:32:32:36:30:31:32:30:31:37:31:37"
"77","2026-01-20 16:17:05.240911100","192.168.0.79","192.168.10.3","UDP","16","c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30"
"78","2026-01-20 16:17:06.070749300","192.168.0.79","192.168.10.3","UDP","55","c5:6d:00:00:2b:00:f4:81:01:01:05:00:38:39:30:35:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:32:35:31:31:32:36:30:31:32:30:31:37:31:37:30:30:30:30:30:31:20:20:20"
"79","2026-01-20 16:17:06.107986800","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b"
"80","2026-01-20 16:17:07.098474100","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e3:46:01:00:05:00:4f:4b"
"81","2026-01-20 16:18:07.949181100","192.168.10.3","192.168.0.79","UDP","50","00:00:c5:6d:26:00:8a:df:01:01:e5:04:37:36:30:35:30:32:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:32:35:31:31:32:36:30:31:32:30:31:37:31:37:30:20"
"82","2026-01-20 16:18:07.951906500","192.168.0.79","192.168.10.3","UDP","18","00:00:c5:6d:06:00:87:f1:01:00:e5:04:66:36:30:30:30:35"
"83","2026-01-20 16:18:07.952565700","192.168.0.79","192.168.10.3","UDP","140","c5:6d:00:00:80:00:00:d4:01:01:cd:00:38:30:42:32:32:36:30:31:32:30:31:34:31:38:32:36:30:31:32:30:31:36:35:38:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:30:32:30:35"
"84","2026-01-20 16:18:09.183617000","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:1b:46:01:00:cd:00:4f:4b"
"85","2026-01-20 16:19:08.139442200","192.168.10.3","192.168.0.79","UDP","24","00:00:c5:6d:0c:00:1d:52:01:01:e6:04:33:32:32:36:30:31:32:30:31:37:31:39"
"86","2026-01-20 16:19:08.141585300","192.168.0.79","192.168.10.3","UDP","16","c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30"
"87","2026-01-20 16:19:09.207871200","192.168.10.3","192.168.0.79","UDP","14","00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b"
